name	unicode	hex	comment
hebrew_waw	U05d5	0x0ce5	
hebrew_zain	U05d6	0x0ce6	
hebrew_zayin	U05d6	0x0ce6	/* deprecated */
hebrew_chet	U05d7	0x0ce7	
hebrew_het	U05d7	0x0ce7	/* deprecated */
hebrew_tet	U05d8	0x0ce8	
hebrew_teth	U05d8	0x0ce8	/* deprecated */
hebrew_yod	U05d9	0x0ce9	
hebrew_finalkaph	U05da	0x0cea	
hebrew_kaph	U05db	0x0ceb	
hebrew_lamed	U05dc	0x0cec	
hebrew_finalmem	U05dd	0x0ced	
hebrew_mem	U05de	0x0cee	
hebrew_finalnun	U05df	0x0cef	
hebrew_nun	U05e0	0x0cf0	
hebrew_samech	U05e1	0x0cf1	
hebrew_samekh	U05e1	0x0cf1	/* deprecated */
hebrew_ayin	U05e2	0x0cf2	
hebrew_finalpe	U05e3	0x0cf3	
hebrew_pe	U05e4	0x0cf4	
hebrew_finalzade	U05e5	0x0cf5	
hebrew_finalzadi	U05e5	0x0cf5	/* deprecated */
hebrew_zade	U05e6	0x0cf6	
hebrew_zadi	U05e6	0x0cf6	/* deprecated */
hebrew_kuf	U05e7	0x0cf7	/* deprecated */
hebrew_qoph	U05e7	0x0cf7	
hebrew_resh	U05e8	0x0cf8	
hebrew_shin	U05e9	0x0cf9	
hebrew_taf	U05ea	0x0cfa	/* deprecated */
hebrew_taw	U05ea	0x0cfa	
Thai_kokai	U0e01	0x0da1	
Thai_khokhai	U0e02	0x0da2	
Thai_khokhuat	U0e03	0x0da3	
Thai_khokhwai	U0e04	0x0da4	
Thai_khokhon	U0e05	0x0da5	
Thai_khorakhang	U0e06	0x0da6	
Thai_ngongu	U0e07	0x0da7	
Thai_chochan	U0e08	0x0da8	
Thai_choching	U0e09	0x0da9	 
Thai_chochang	U0e0a	0x0daa	
Thai_soso	U0e0b	0x0dab	
Thai_chochoe	U0e0c	0x0dac	
Thai_yoying	U0e0d	0x0dad	
Thai_dochada	U0e0e	0x0dae	
Thai_topatak	U0e0f	0x0daf	
Thai_thothan	U0e10	0x0db0	
Thai_thonangmontho	U0e11	0x0db1	
Thai_thophuthao	U0e12	0x0db2	
Thai_nonen	U0e13	0x0db3	
Thai_dodek	U0e14	0x0db4	
Thai_totao	U0e15	0x0db5	
Thai_thothung	U0e16	0x0db6	
Thai_thothahan	U0e17	0x0db7	
Thai_thothong	U0e18	0x0db8	
Thai_nonu	U0e19	0x0db9	
Thai_bobaimai	U0e1a	0x0dba	
Thai_popla	U0e1b	0x0dbb	
Thai_phophung	U0e1c	0x0dbc	
Thai_fofa	U0e1d	0x0dbd	
Thai_phophan	U0e1e	0x0dbe	
Thai_fofan	U0e1f	0x0dbf	
Thai_phosamphao	U0e20	0x0dc0	
Thai_moma	U0e21	0x0dc1	
Thai_yoyak	U0e22	0x0dc2	
Thai_rorua	U0e23	0x0dc3	
Thai_ru	U0e24	0x0dc4	
Thai_loling	U0e25	0x0dc5	
Thai_lu	U0e26	0x0dc6	
Thai_wowaen	U0e27	0x0dc7	
Thai_sosala	U0e28	0x0dc8	
Thai_sorusi	U0e29	0x0dc9	
Thai_sosua	U0e2a	0x0dca	
Thai_hohip	U0e2b	0x0dcb	
Thai_lochula	U0e2c	0x0dcc	
Thai_oang	U0e2d	0x0dcd	
Thai_honokhuk	U0e2e	0x0dce	
Thai_paiyannoi	U0e2f	0x0dcf	
Thai_saraa	U0e30	0x0dd0	
Thai_maihanakat	U0e31	0x0dd1	
Thai_saraaa	U0e32	0x0dd2	
Thai_saraam	U0e33	0x0dd3	
Thai_sarai	U0e34	0x0dd4	 
Thai_saraii	U0e35	0x0dd5	 
Thai_saraue	U0e36	0x0dd6	
Thai_sarauee	U0e37	0x0dd7	
Thai_sarau	U0e38	0x0dd8	
Thai_sarauu	U0e39	0x0dd9	 
Thai_phinthu	U0e3a	0x0dda	
Thai_maihanakat_maitho	U0000	0x0dde	
Thai_baht	U0e3f	0x0ddf	
Thai_sarae	U0e40	0x0de0	
Thai_saraae	U0e41	0x0de1	
Thai_sarao	U0e42	0x0de2	
Thai_saraaimaimuan	U0e43	0x0de3	 
Thai_saraaimaimalai	U0e44	0x0de4	
Thai_lakkhangyao	U0e45	0x0de5	
Thai_maiyamok	U0e46	0x0de6	
Thai_maitaikhu	U0e47	0x0de7	
Thai_maiek	U0e48	0x0de8	 
Thai_maitho	U0e49	0x0de9	
Thai_maitri	U0e4a	0x0dea	
Thai_maichattawa	U0e4b	0x0deb	
Thai_thanthakhat	U0e4c	0x0dec	
Thai_nikhahit	U0e4d	0x0ded	
Thai_leksun 	U0e50	0x0df0	
Thai_leknung	U0e51	0x0df1	
Thai_leksong 	U0e52	0x0df2	
Thai_leksam	U0e53	0x0df3	
Thai_leksi	U0e54	0x0df4	
Thai_lekha	U0e55	0x0df5	
Thai_lekhok	U0e56	0x0df6	
Thai_lekchet	U0e57	0x0df7	
Thai_lekpaet	U0e58	0x0df8	
Thai_lekkao 	U0e59	0x0df9	
Hangul_Kiyeog	U3131	0x0ea1	
Hangul_SsangKiyeog	U3132	0x0ea2	
Hangul_KiyeogSios	U3133	0x0ea3	
Hangul_Nieun	U3134	0x0ea4	
Hangul_NieunJieuj	U3135	0x0ea5	
Hangul_NieunHieuh	U3136	0x0ea6	
Hangul_Dikeud	U3137	0x0ea7	
Hangul_SsangDikeud	U3138	0x0ea8	
Hangul_Rieul	U3139	0x0ea9	
Hangul_RieulKiyeog	U313a	0x0eaa	
Hangul_RieulMieum	U313b	0x0eab	
Hangul_RieulPieub	U313c	0x0eac	
Hangul_RieulSios	U313d	0x0ead	
Hangul_RieulTieut	U313e	0x0eae	
Hangul_RieulPhieuf	U313f	0x0eaf	
Hangul_RieulHieuh	U3140	0x0eb0	
Hangul_Mieum	U3141	0x0eb1	
Hangul_Pieub	U3142	0x0eb2	
Hangul_SsangPieub	U3143	0x0eb3	
Hangul_PieubSios	U3144	0x0eb4	
Hangul_Sios	U3145	0x0eb5	
Hangul_SsangSios	U3146	0x0eb6	
Hangul_Ieung	U3147	0x0eb7	
Hangul_Jieuj	U3148	0x0eb8	
Hangul_SsangJieuj	U3149	0x0eb9	
Hangul_Cieuc	U314a	0x0eba	
Hangul_Khieuq	U314b	0x0ebb	
Hangul_Tieut	U314c	0x0ebc	
Hangul_Phieuf	U314d	0x0ebd	
Hangul_Hieuh	U314e	0x0ebe	
Hangul_A	U314f	0x0ebf	
Hangul_AE	U3150	0x0ec0	
Hangul_YA	U3151	0x0ec1	
Hangul_YAE	U3152	0x0ec2	
Hangul_EO	U3153	0x0ec3	
Hangul_E	U3154	0x0ec4	
Hangul_YEO	U3155	0x0ec5	
Hangul_YE	U3156	0x0ec6	
Hangul_O	U3157	0x0ec7	
Hangul_WA	U3158	0x0ec8	
Hangul_WAE	U3159	0x0ec9	
Hangul_OE	U315a	0x0eca	
Hangul_YO	U315b	0x0ecb	
Hangul_U	U315c	0x0ecc	
Hangul_WEO	U315d	0x0ecd	
Hangul_WE	U315e	0x0ece	
Hangul_WI	U315f	0x0ecf	
Hangul_YU	U3160	0x0ed0	
Hangul_EU	U3161	0x0ed1	
Hangul_YI	U3162	0x0ed2	
Hangul_I	U3163	0x0ed3	
Hangul_J_Kiyeog	U11a8	0x0ed4	
Hangul_J_SsangKiyeog	U11a9	0x0ed5	
Hangul_J_KiyeogSios	U11aa	0x0ed6	
Hangul_J_Nieun	U11ab	0x0ed7	
Hangul_J_NieunJieuj	U11ac	0x0ed8	
Hangul_J_NieunHieuh	U11ad	0x0ed9	
Hangul_J_Dikeud	U11ae	0x0eda	
Hangul_J_Rieul	U11af	0x0edb	
Hangul_J_RieulKiyeog	U11b0	0x0edc	
Hangul_J_RieulMieum	U11b1	0x0edd	
Hangul_J_RieulPieub	U11b2	0x0ede	
Hangul_J_RieulSios	U11b3	0x0edf	
Hangul_J_RieulTieut	U11b4	0x0ee0	
Hangul_J_RieulPhieuf	U11b5	0x0ee1	
Hangul_J_RieulHieuh	U11b6	0x0ee2	
Hangul_J_Mieum	U11b7	0x0ee3	
Hangul_J_Pieub	U11b8	0x0ee4	
Hangul_J_PieubSios	U11b9	0x0ee5	
Hangul_J_Sios	U11ba	0x0ee6	
Hangul_J_SsangSios	U11bb	0x0ee7	
Hangul_J_Ieung	U11bc	0x0ee8	
Hangul_J_Jieuj	U11bd	0x0ee9	
Hangul_J_Cieuc	U11be	0x0eea	
Hangul_J_Khieuq	U11bf	0x0eeb	
Hangul_J_Tieut	U11c0	0x0eec	
Hangul_J_Phieuf	U11c1	0x0eed	
Hangul_J_Hieuh	U11c2	0x0eee	
Hangul_RieulYeorinHieuh	U316d	0x0eef	
Hangul_SunkyeongeumMieum	U3171	0x0ef0	
Hangul_SunkyeongeumPieub	U3178	0x0ef1	
Hangul_PanSios	U317f	0x0ef2	
Hangul_KkogjiDalrinIeung	U3181	0x0ef3	
Hangul_SunkyeongeumPhieuf	U3184	0x0ef4	
Hangul_YeorinHieuh	U3186	0x0ef5	
Hangul_AraeA	U318d	0x0ef6	
Hangul_AraeAE	U318e	0x0ef7	
Hangul_J_PanSios	U11eb	0x0ef8	
Hangul_J_KkogjiDalrinIeung	U11f0	0x0ef9	
Hangul_J_YeorinHieuh	U11f9	0x0efa	
Korean_Won	U20a9	0x0eff	
OE	U0152	0x13bc	
oe	U0153	0x13bd	
Ydiaeresis	U0178	0x13be	
EcuSign	U20a0	0x20a0	
ColonSign	U20a1	0x20a1	
CruzeiroSign	U20a2	0x20a2	
FFrancSign	U20a3	0x20a3	
LiraSign	U20a4	0x20a4	
MillSign	U20a5	0x20a5	
NairaSign	U20a6	0x20a6	
PesetaSign	U20a7	0x20a7	
RupeeSign	U20a8	0x20a8	
WonSign	U20a9	0x20a9	
NewSheqelSign	U20aa	0x20aa	
DongSign	U20ab	0x20ab	
EuroSign	U20ac	0x20ac	
3270_Duplicate	U0000	0xfd01	
3270_FieldMark	U0000	0xfd02	
3270_Right2	U0000	0xfd03	
3270_Left2	U0000	0xfd04	
3270_BackTab	U0000	0xfd05	
3270_EraseEOF	U0000	0xfd06	
3270_EraseInput	U0000	0xfd07	
3270_Reset	U0000	0xfd08	
3270_Quit	U0000	0xfd09	
3270_PA1	U0000	0xfd0a	
3270_PA2	U0000	0xfd0b	
3270_PA3	U0000	0xfd0c	
3270_Test	U0000	0xfd0d	
3270_Attn	U0000	0xfd0e	
3270_CursorBlink	U0000	0xfd0f	
3270_AltCursor	U0000	0xfd10	
3270_KeyClick	U0000	0xfd11	
3270_Jump	U0000	0xfd12	
3270_Ident	U0000	0xfd13	
3270_Rule	U0000	0xfd14	
3270_Copy	U0000	0xfd15	
3270_Play	U0000	0xfd16	
3270_Setup	U0000	0xfd17	
3270_Record	U0000	0xfd18	
3270_ChangeScreen	U0000	0xfd19	
3270_DeleteWord	U0000	0xfd1a	
3270_ExSelect	U0000	0xfd1b	
3270_CursorSelect	U0000	0xfd1c	
3270_PrintScreen	U0000	0xfd1d	
3270_Enter	U0000	0xfd1e	
ISO_Lock	U0000	0xfe01	
ISO_Level2_Latch	U0000	0xfe02	
ISO_Level3_Shift	U0000	0xfe03	
ISO_Level3_Latch	U0000	0xfe04	
ISO_Level3_Lock	U0000	0xfe05	
ISO_Group_Latch	U0000	0xfe06	
ISO_Group_Lock	U0000	0xfe07	
ISO_Next_Group	U0000	0xfe08	
ISO_Next_Group_Lock	U0000	0xfe09	
ISO_Prev_Group	U0000	0xfe0a	
ISO_Prev_Group_Lock	U0000	0xfe0b	
ISO_First_Group	U0000	0xfe0c	
ISO_First_Group_Lock	U0000	0xfe0d	
ISO_Last_Group	U0000	0xfe0e	
ISO_Last_Group_Lock	U0000	0xfe0f	
ISO_Left_Tab	U0000	0xfe20	
ISO_Move_Line_Up	U0000	0xfe21	
ISO_Move_Line_Down	U0000	0xfe22	
ISO_Partial_Line_Up	U0000	0xfe23	
ISO_Partial_Line_Down	U0000	0xfe24	
ISO_Partial_Space_Left	U0000	0xfe25	
ISO_Partial_Space_Right	U0000	0xfe26	
ISO_Set_Margin_Left	U0000	0xfe27	
ISO_Set_Margin_Right	U0000	0xfe28	
ISO_Release_Margin_Left	U0000	0xfe29	
ISO_Release_Margin_Right	U0000	0xfe2a	
ISO_Release_Both_Margins	U0000	0xfe2b	
ISO_Fast_Cursor_Left	U0000	0xfe2c	
ISO_Fast_Cursor_Right	U0000	0xfe2d	
ISO_Fast_Cursor_Up	U0000	0xfe2e	
ISO_Fast_Cursor_Down	U0000	0xfe2f	
ISO_Continuous_Underline	U0000	0xfe30	
ISO_Discontinuous_Underline	U0000	0xfe31	
ISO_Emphasize	U0000	0xfe32	
ISO_Center_Object	U0000	0xfe33	
ISO_Enter	U0000	0xfe34	
dead_grave	U0300	0xfe50	
dead_acute	U0301	0xfe51	
dead_circumflex	U0302	0xfe52	
dead_tilde	U0303	0xfe53	
dead_macron	U0304	0xfe54	
dead_breve	U0306	0xfe55	
dead_abovedot	U0307	0xfe56	
dead_diaeresis	U0308	0xfe57	
dead_abovering	U030a	0xfe58	
dead_doubleacute	U030b	0xfe59	
dead_caron	U030c	0xfe5a	
dead_cedilla	U0327	0xfe5b	
dead_ogonek	U0328	0xfe5c	
dead_iota	U0345	0xfe5d	
dead_voiced_sound	U3099	0xfe5e	
dead_semivoiced_sound	U309a	0xfe5f	
AccessX_Enable	U0000	0xfe70	
AccessX_Feedback_Enable	U0000	0xfe71	
RepeatKeys_Enable	U0000	0xfe72	
SlowKeys_Enable	U0000	0xfe73	
BounceKeys_Enable	U0000	0xfe74	
StickyKeys_Enable	U0000	0xfe75	
MouseKeys_Enable	U0000	0xfe76	
MouseKeys_Accel_Enable	U0000	0xfe77	
Overlay1_Enable	U0000	0xfe78	
Overlay2_Enable	U0000	0xfe79	
AudibleBell_Enable	U0000	0xfe7a	
First_Virtual_Screen	U0000	0xfed0	
Prev_Virtual_Screen	U0000	0xfed1	
Next_Virtual_Screen	U0000	0xfed2	
Last_Virtual_Screen	U0000	0xfed4	
Terminate_Server	U0000	0xfed5	
Pointer_Left	U0000	0xfee0	
Pointer_Right	U0000	0xfee1	
Pointer_Up	U0000	0xfee2	
Pointer_Down	U0000	0xfee3	
Pointer_UpLeft	U0000	0xfee4	
Pointer_UpRight	U0000	0xfee5	
Pointer_DownLeft	U0000	0xfee6	
Pointer_DownRight	U0000	0xfee7	
Pointer_Button_Dflt	U0000	0xfee8	
Pointer_Button1	U0000	0xfee9	
Pointer_Button2	U0000	0xfeea	
Pointer_Button3	U0000	0xfeeb	
Pointer_Button4	U0000	0xfeec	
Pointer_Button5	U0000	0xfeed	
Pointer_DblClick_Dflt	U0000	0xfeee	
Pointer_DblClick1	U0000	0xfeef	
Pointer_DblClick2	U0000	0xfef0	
Pointer_DblClick3	U0000	0xfef1	
Pointer_DblClick4	U0000	0xfef2	
Pointer_DblClick5	U0000	0xfef3	
Pointer_Drag_Dflt	U0000	0xfef4	
Pointer_Drag1	U0000	0xfef5	
Pointer_Drag2	U0000	0xfef6	
Pointer_Drag3	U0000	0xfef7	
Pointer_Drag4	U0000	0xfef8	
Pointer_EnableKeys	U0000	0xfef9	
Pointer_Accelerate	U0000	0xfefa	
Pointer_DfltBtnNext	U0000	0xfefb	
Pointer_DfltBtnPrev	U0000	0xfefc	
Pointer_Drag5	U0000	0xfefd	
BackSpace	U0008	0xff08	
Tab	U0009	0xff09	
Linefeed	U000a	0xff0a	
Clear	U000b	0xff0b	
Return	U000d	0xff0d	
Pause	U0013	0xff13	
Scroll_Lock	U0014	0xff14	
Sys_Req	U0015	0xff15	
Escape	U001b	0xff1b	
Multi_key	U0000	0xff20	
Kanji	U0000	0xff21	
Muhenkan	U0000	0xff22	
Henkan_Mode	U0000	0xff23	
Romaji	U0000	0xff24	
Hiragana	U0000	0xff25	
Katakana	U0000	0xff26	
Hiragana_Katakana	U0000	0xff27	
Zenkaku	U0000	0xff28	
Hankaku	U0000	0xff29	
Zenkaku_Hankaku	U0000	0xff2a	
Touroku	U0000	0xff2b	
Massyo	U0000	0xff2c	
Kana_Lock	U0000	0xff2d	
Kana_Shift	U0000	0xff2e	
Eisu_Shift	U0000	0xff2f	
Eisu_toggle	U0000	0xff30	
Hangul	U0000	0xff31	
Hangul_Start	U0000	0xff32	
Hangul_End	U0000	0xff33	
Hangul_Hanja	U0000	0xff34	
Hangul_Jamo	U0000	0xff35	
Hangul_Romaja	U0000	0xff36	
Codeinput	U0000	0xff37	
Hangul_Jeonja	U0000	0xff38	
Hangul_Banja	U0000	0xff39	
Hangul_PreHanja	U0000	0xff3a	
Hangul_PostHanja	U0000	0xff3b	
SingleCandidate	U0000	0xff3c	
MultipleCandidate	U0000	0xff3d	
PreviousCandidate	U0000	0xff3e	
Hangul_Special	U0000	0xff3f	
Home	U0000	0xff50	
Left	U0000	0xff51	
Up	U0000	0xff52	
Right	U0000	0xff53	
Down	U0000	0xff54	
Prior	U0000	0xff55	
Next	U0000	0xff56	
End	U0000	0xff57	
Begin	U0000	0xff58	
Select	U0000	0xff60	
Print	U0000	0xff61	
Execute	U0000	0xff62	
Insert	U0000	0xff63	
Undo	U0000	0xff65	
Redo	U0000	0xff66	
Menu	U0000	0xff67	
Find	U0000	0xff68	
Cancel	U0000	0xff69	
Help	U0000	0xff6a	
Break	U0000	0xff6b	
Mode_switch	U0000	0xff7e	
Num_Lock	U0000	0xff7f	
KP_Space	U0020	0xff80	
KP_Tab	U0009	0xff89	
KP_Enter	U000d	0xff8d	
KP_F1	U0000	0xff91	
KP_F2	U0000	0xff92	
KP_F3	U0000	0xff93	
KP_F4	U0000	0xff94	
KP_Home	U0000	0xff95	
KP_Left	U0000	0xff96	
KP_Up	U0000	0xff97	
KP_Right	U0000	0xff98	
KP_Down	U0000	0xff99	
KP_Prior	U0000	0xff9a	
KP_Next	U0000	0xff9b	
KP_End	U0000	0xff9c	
KP_Begin	U0000	0xff9d	
KP_Insert	U0000	0xff9e	
KP_Delete	U0000	0xff9f	
KP_Multiply	U002a	0xffaa	
KP_Add	U002b	0xffab	
KP_Separator	U002c	0xffac	
KP_Subtract	U002d	0xffad	
KP_Decimal	U002e	0xffae	
KP_Divide	U002f	0xffaf	
KP_0	U0030	0xffb0	
KP_1	U0031	0xffb1	
KP_2	U0032	0xffb2	
KP_3	U0033	0xffb3	
KP_4	U0034	0xffb4	
KP_5	U0035	0xffb5	
KP_6	U0036	0xffb6	
KP_7	U0037	0xffb7	
KP_8	U0038	0xffb8	
KP_9	U0039	0xffb9	
KP_Equal	U003d	0xffbd	/* equals */
F1	U0000	0xffbe	
F2	U0000	0xffbf	
F3	U0000	0xffc0	
F4	U0000	0xffc1	
F5	U0000	0xffc2	
F6	U0000	0xffc3	
F7	U0000	0xffc4	
F8	U0000	0xffc5	
F9	U0000	0xffc6	
F10	U0000	0xffc7	
F11	U0000	0xffc8	
F12	U0000	0xffc9	
F13	U0000	0xffca	
F14	U0000	0xffcb	
F15	U0000	0xffcc	
F16	U0000	0xffcd	
F17	U0000	0xffce	
F18	U0000	0xffcf	
F19	U0000	0xffd0	
F20	U0000	0xffd1	
F21	U0000	0xffd2	
F22	U0000	0xffd3	
F23	U0000	0xffd4	
F24	U0000	0xffd5	
F25	U0000	0xffd6	
F26	U0000	0xffd7	
F27	U0000	0xffd8	
F28	U0000	0xffd9	
F29	U0000	0xffda	
F30	U0000	0xffdb	
F31	U0000	0xffdc	
F32	U0000	0xffdd	
F33	U0000	0xffde	
F34	U0000	0xffdf	
F35	U0000	0xffe0	
Shift_L	U0000	0xffe1	
Shift_R	U0000	0xffe2	
Control_L	U0000	0xffe3	
Control_R	U0000	0xffe4	
Caps_Lock	U0000	0xffe5	
Shift_Lock	U0000	0xffe6	
Meta_L	U0000	0xffe7	
Meta_R	U0000	0xffe8	
Alt_L	U0000	0xffe9	
Alt_R	U0000	0xffea	
Super_L	U0000	0xffeb	
Super_R	U0000	0xffec	
Hyper_L	U0000	0xffed	
Hyper_R	U0000	0xffee	
Delete	U0000	0xffff	
VoidSymbol	U0000	0xffffff	
Ukrainian_ghe_with_upturn	U0491	0x06ad	
Ukrainian_GHE_WITH_UPTURN	U0490	0x06bd	
Armenian_eternity	U0000	0x14a1	
Armenian_ligature_ew	U0587	0x14a2	
Armenian_verjaket	U0589	0x14a3	
Armenian_parenright	U0029	0x14a4	
Armenian_parenleft	U0028	0x14a5	
Armenian_guillemotright	U00bb	0x14a6	
Armenian_guillemotleft	U00ab	0x14a7	
Armenian_em_dash	U2014	0x14a8	
Armenian_mijaket	U002e	0x14a9	
Armenian_but	U055d	0x14aa	
Armenian_comma	U002c	0x14ab	
Armenian_en_dash	U2013	0x14ac	
Armenian_yentamna	U058a	0x14ad	
Armenian_ellipsis	U2026	0x14ae	
Armenian_amanak	U055c	0x14af	
Armenian_shesht	U055b	0x14b0	
Armenian_paruyk	U055e	0x14b1	
Armenian_AYB	U0531	0x14b2	
Armenian_ayb	U0561	0x14b3	
Armenian_BEN	U0532	0x14b4	
Armenian_ben	U0562	0x14b5	
Armenian_GIM	U0533	0x14b6	
Armenian_gim	U0563	0x14b7	
Armenian_DA	U0534	0x14b8	
Armenian_da	U0564	0x14b9	
Armenian_YECH	U0535	0x14ba	
Armenian_yech	U0565	0x14bb	
Armenian_ZA	U0536	0x14bc	
Armenian_za	U0566	0x14bd	
Armenian_E	U0537	0x14be	
Armenian_e	U0567	0x14bf	
Armenian_AT	U0538	0x14c0	
Armenian_at	U0568	0x14c1	
Armenian_TO	U0539	0x14c2	
Armenian_to	U0569	0x14c3	
Armenian_ZHE	U053a	0x14c4	
Armenian_zhe	U056a	0x14c5	
Armenian_INI	U053b	0x14c6	
Armenian_ini	U056b	0x14c7	
Armenian_LYUN	U053c	0x14c8	
Armenian_lyun	U056c	0x14c9	
Armenian_KHE	U053d	0x14ca	
Armenian_khe	U056d	0x14cb	
Armenian_TSA	U053e	0x14cc	
Armenian_tsa	U056e	0x14cd	
Armenian_KEN	U053f	0x14ce	
Armenian_ken	U056f	0x14cf	
Armenian_HO	U0540	0x14d0	
Armenian_ho	U0570	0x14d1	
Armenian_DZA	U0541	0x14d2	
Armenian_dza	U0571	0x14d3	
Armenian_GHAT	U0542	0x14d4	
Armenian_ghat	U0572	0x14d5	
Armenian_TCHE	U0543	0x14d6	
Armenian_tche	U0573	0x14d7	
Armenian_MEN	U0544	0x14d8	
Armenian_men	U0574	0x14d9	
Armenian_HI	U0545	0x14da	
Armenian_hi	U0575	0x14db	
Armenian_NU	U0546	0x14dc	
Armenian_nu	U0576	0x14dd	
Armenian_SHA	U0547	0x14de	
Armenian_sha	U0577	0x14df	
Armenian_VO	U0548	0x14e0	
Armenian_vo	U0578	0x14e1	
Armenian_CHA	U0549	0x14e2	
Armenian_cha	U0579	0x14e3	
Armenian_PE	U054a	0x14e4	
Armenian_pe	U057a	0x14e5	
Armenian_JE	U054b	0x14e6	
Armenian_je	U057b	0x14e7	
Armenian_RA	U054c	0x14e8	
Armenian_ra	U057c	0x14e9	
Armenian_SE	U054d	0x14ea	
Armenian_se	U057d	0x14eb	
Armenian_VEV	U054e	0x14ec	
Armenian_vev	U057e	0x14ed	
Armenian_TYUN	U054f	0x14ee	
Armenian_tyun	U057f	0x14ef	
Armenian_RE	U0550	0x14f0	
Armenian_re	U0580	0x14f1	
Armenian_TSO	U0551	0x14f2	
Armenian_tso	U0581	0x14f3	
Armenian_VYUN	U0552	0x14f4	
Armenian_vyun	U0582	0x14f5	
Armenian_PYUR	U0553	0x14f6	
Armenian_pyur	U0583	0x14f7	
Armenian_KE	U0554	0x14f8	
Armenian_ke	U0584	0x14f9	
Armenian_O	U0555	0x14fa	
Armenian_o	U0585	0x14fb	
Armenian_FE	U0556	0x14fc	
Armenian_fe	U0586	0x14fd	
Armenian_apostrophe	U055a	0x14fe	
Armenian_section_sign	U00a7	0x14ff	
Georgian_an	U10d0	0x15d0	
Georgian_ban	U10d1	0x15d1	
Georgian_gan	U10d2	0x15d2	
Georgian_don	U10d3	0x15d3	
Georgian_en	U10d4	0x15d4	
Georgian_vin	U10d5	0x15d5	
Georgian_zen	U10d6	0x15d6	
Georgian_tan	U10d7	0x15d7	
Georgian_in	U10d8	0x15d8	
Georgian_kan	U10d9	0x15d9	
Georgian_las	U10da	0x15da	
Georgian_man	U10db	0x15db	
Georgian_nar	U10dc	0x15dc	
Georgian_on	U10dd	0x15dd	
Georgian_par	U10de	0x15de	
Georgian_zhar	U10df	0x15df	
Georgian_rae	U10e0	0x15e0	
Georgian_san	U10e1	0x15e1	
Georgian_tar	U10e2	0x15e2	
Georgian_un	U10e3	0x15e3	
Georgian_phar	U10e4	0x15e4	
Georgian_khar	U10e5	0x15e5	
Georgian_ghan	U10e6	0x15e6	
Georgian_qar	U10e7	0x15e7	
Georgian_shin	U10e8	0x15e8	
Georgian_chin	U10e9	0x15e9	
Georgian_can	U10ea	0x15ea	
Georgian_jil	U10eb	0x15eb	
Georgian_cil	U10ec	0x15ec	
Georgian_char	U10ed	0x15ed	
Georgian_xan	U10ee	0x15ee	
Georgian_jhan	U10ef	0x15ef	
Georgian_hae	U10f0	0x15f0	
Georgian_he	U10f1	0x15f1	
Georgian_hie	U10f2	0x15f2	
Georgian_we	U10f3	0x15f3	
Georgian_har	U10f4	0x15f4	
Georgian_hoe	U10f5	0x15f5	
Georgian_fi	U10f6	0x15f6	
Babovedot	U1e02	0x12a1	
babovedot	U1e03	0x12a2	
Dabovedot	U1e0a	0x12a6	
Wgrave	U1e80	0x12a8	
Wacute	U1e82	0x12aa	
dabovedot	U1e0b	0x12ab	
Ygrave	U1ef2	0x12ac	
Fabovedot	U1e1e	0x12b0	
fabovedot	U1e1f	0x12b1	
Mabovedot	U1e40	0x12b4	
mabovedot	U1e41	0x12b5	
Pabovedot	U1e56	0x12b7	
wgrave	U1e81	0x12b8	
pabovedot	U1e57	0x12b9	
wacute	U1e83	0x12ba	
Sabovedot	U1e60	0x12bb	
ygrave	U1ef3	0x12bc	
Wdiaeresis	U1e84	0x12bd	
wdiaeresis	U1e85	0x12be	
sabovedot	U1e61	0x12bf	
Wcircumflex	U0174	0x12d0	
Tabovedot	U1e6a	0x12d7	
Ycircumflex	U0176	0x12de	
wcircumflex	U0175	0x12f0	
tabovedot	U1e6b	0x12f7	
ycircumflex	U0177	0x12fe	
Farsi_0	U06f0	0x0590	
Farsi_1	U06f1	0x0591	
Farsi_2	U06f2	0x0592	
Farsi_3	U06f3	0x0593	
Farsi_4	U06f4	0x0594	
Farsi_5	U06f5	0x0595	
Farsi_6	U06f6	0x0596	
Farsi_7	U06f7	0x0597	
Farsi_8	U06f8	0x0598	
Farsi_9	U06f9	0x0599	
Arabic_percent	U066a	0x05a5	
Arabic_superscript_alef	U0670	0x05a6	
Arabic_tteh	U0679	0x05a7	
Arabic_peh	U067e	0x05a8	
Arabic_tcheh	U0686	0x05a9	
Arabic_ddal	U0688	0x05aa	
Arabic_rreh	U0691	0x05ab	
Arabic_fullstop	U06d4	0x05ae	
Arabic_0	U0660	0x05b0	
Arabic_1	U0661	0x05b1	
Arabic_2	U0662	0x05b2	
Arabic_3	U0663	0x05b3	
Arabic_4	U0664	0x05b4	
Arabic_5	U0665	0x05b5	
Arabic_6	U0666	0x05b6	
Arabic_7	U0667	0x05b7	
Arabic_8	U0668	0x05b8	
Arabic_9	U0669	0x05b9	
Arabic_madda_above	U0653	0x05f3	
Arabic_hamza_above	U0654	0x05f4	
Arabic_hamza_below	U0655	0x05f5	
Arabic_jeh	U0698	0x05f6	
Arabic_veh	U06a4	0x05f7	
Arabic_keheh	U06a9	0x05f8	
Arabic_gaf	U06af	0x05f9	
Arabic_noon_ghunna	U06ba	0x05fa	
Arabic_heh_doachashmee	U06be	0x05fb	
