name	unicode	hex	comment
lcaron	U013e	0x01b5	
sacute	U015b	0x01b6	
caron	U02c7	0x01b7	
scaron	U0161	0x01b9	
scedilla	U015f	0x01ba	
tcaron	U0165	0x01bb	
zacute	U017a	0x01bc	
doubleacute	U02dd	0x01bd	
zcaron	U017e	0x01be	
zabovedot	U017c	0x01bf	
Racute	U0154	0x01c0	
Abreve	U0102	0x01c3	
Lacute	U0139	0x01c5	
Cacute	U0106	0x01c6	
Ccaron	U010c	0x01c8	
Eogonek	U0118	0x01ca	
Ecaron	U011a	0x01cc	
Dcaron	U010e	0x01cf	
Dstroke	U0110	0x01d0	
Nacute	U0143	0x01d1	
Ncaron	U0147	0x01d2	
Odoubleacute	U0150	0x01d5	
Rcaron	U0158	0x01d8	
Uring	U016e	0x01d9	
Udoubleacute	U0170	0x01db	
Tcedilla	U0162	0x01de	
racute	U0155	0x01e0	
abreve	U0103	0x01e3	
lacute	U013a	0x01e5	
cacute	U0107	0x01e6	
ccaron	U010d	0x01e8	
eogonek	U0119	0x01ea	
ecaron	U011b	0x01ec	
dcaron	U010f	0x01ef	
dstroke	U0111	0x01f0	
nacute	U0144	0x01f1	
ncaron	U0148	0x01f2	
odoubleacute	U0151	0x01f5	
rcaron	U0159	0x01f8	
uring	U016f	0x01f9	
udoubleacute	U0171	0x01fb	
tcedilla	U0163	0x01fe	
abovedot	U02d9	0x01ff	
Hstroke	U0126	0x02a1	
Hcircumflex	U0124	0x02a6	
Iabovedot	U0130	0x02a9	
Gbreve	U011e	0x02ab	
Jcircumflex	U0134	0x02ac	
hstroke	U0127	0x02b1	
hcircumflex	U0125	0x02b6	
idotless	U0131	0x02b9	
gbreve	U011f	0x02bb	
jcircumflex	U0135	0x02bc	
Cabovedot	U010a	0x02c5	
Ccircumflex	U0108	0x02c6	
Gabovedot	U0120	0x02d5	
Gcircumflex	U011c	0x02d8	
Ubreve	U016c	0x02dd	
Scircumflex	U015c	0x02de	
cabovedot	U010b	0x02e5	
ccircumflex	U0109	0x02e6	
gabovedot	U0121	0x02f5	
gcircumflex	U011d	0x02f8	
ubreve	U016d	0x02fd	
scircumflex	U015d	0x02fe	
kra	U0138	0x03a2	
Rcedilla	U0156	0x03a3	
Itilde	U0128	0x03a5	
Lcedilla	U013b	0x03a6	
Emacron	U0112	0x03aa	
Gcedilla	U0122	0x03ab	
Tslash	U0166	0x03ac	
rcedilla	U0157	0x03b3	
itilde	U0129	0x03b5	
lcedilla	U013c	0x03b6	
emacron	U0113	0x03ba	
gcedilla	U0123	0x03bb	
tslash	U0167	0x03bc	
ENG	U014a	0x03bd	
eng	U014b	0x03bf	
Amacron	U0100	0x03c0	
Iogonek	U012e	0x03c7	
Eabovedot	U0116	0x03cc	
Imacron	U012a	0x03cf	
Ncedilla	U0145	0x03d1	
Omacron	U014c	0x03d2	
Kcedilla	U0136	0x03d3	
Uogonek	U0172	0x03d9	
Utilde	U0168	0x03dd	
Umacron	U016a	0x03de	
amacron	U0101	0x03e0	
iogonek	U012f	0x03e7	
eabovedot	U0117	0x03ec	
imacron	U012b	0x03ef	
ncedilla	U0146	0x03f1	
omacron	U014d	0x03f2	
kcedilla	U0137	0x03f3	
uogonek	U0173	0x03f9	
utilde	U0169	0x03fd	
umacron	U016b	0x03fe	
overline	U203e	0x047e	
kana_fullstop	U3002	0x04a1	
kana_openingbracket	U300c	0x04a2	
kana_closingbracket	U300d	0x04a3	
kana_comma	U3001	0x04a4	
kana_conjunctive	U30fb	0x04a5	
kana_WO	U30f2	0x04a6	
kana_a	U30a1	0x04a7	
kana_i	U30a3	0x04a8	
kana_u	U30a5	0x04a9	
kana_e	U30a7	0x04aa	
kana_o	U30a9	0x04ab	
kana_ya	U30e3	0x04ac	
kana_yu	U30e5	0x04ad	
kana_yo	U30e7	0x04ae	
kana_tsu	U30c3	0x04af	
prolongedsound	U30fc	0x04b0	
kana_A	U30a2	0x04b1	
kana_I	U30a4	0x04b2	
kana_U	U30a6	0x04b3	
kana_E	U30a8	0x04b4	
kana_O	U30aa	0x04b5	
kana_KA	U30ab	0x04b6	
kana_KI	U30ad	0x04b7	
kana_KU	U30af	0x04b8	
kana_KE	U30b1	0x04b9	
kana_KO	U30b3	0x04ba	
kana_SA	U30b5	0x04bb	
kana_SHI	U30b7	0x04bc	
kana_SU	U30b9	0x04bd	
kana_SE	U30bb	0x04be	
kana_SO	U30bd	0x04bf	
kana_TA	U30bf	0x04c0	
kana_CHI	U30c1	0x04c1	
kana_TSU	U30c4	0x04c2	
kana_TE	U30c6	0x04c3	
kana_TO	U30c8	0x04c4	
kana_NA	U30ca	0x04c5	
kana_NI	U30cb	0x04c6	
kana_NU	U30cc	0x04c7	
kana_NE	U30cd	0x04c8	
kana_NO	U30ce	0x04c9	
kana_HA	U30cf	0x04ca	
kana_HI	U30d2	0x04cb	
kana_FU	U30d5	0x04cc	
kana_HE	U30d8	0x04cd	
kana_HO	U30db	0x04ce	
kana_MA	U30de	0x04cf	
kana_MI	U30df	0x04d0	
kana_MU	U30e0	0x04d1	
kana_ME	U30e1	0x04d2	
kana_MO	U30e2	0x04d3	
kana_YA	U30e4	0x04d4	
kana_YU	U30e6	0x04d5	
kana_YO	U30e8	0x04d6	
kana_RA	U30e9	0x04d7	
kana_RI	U30ea	0x04d8	
kana_RU	U30eb	0x04d9	
kana_RE	U30ec	0x04da	
kana_RO	U30ed	0x04db	
kana_WA	U30ef	0x04dc	
kana_N	U30f3	0x04dd	
voicedsound	U309b	0x04de	
semivoicedsound	U309c	0x04df	
Arabic_comma	U060c	0x05ac	
Arabic_semicolon	U061b	0x05bb	
Arabic_question_mark	U061f	0x05bf	
Arabic_hamza	U0621	0x05c1	
Arabic_maddaonalef	U0622	0x05c2	
Arabic_hamzaonalef	U0623	0x05c3	
Arabic_hamzaonwaw	U0624	0x05c4	
Arabic_hamzaunderalef	U0625	0x05c5	
Arabic_hamzaonyeh	U0626	0x05c6	
Arabic_alef	U0627	0x05c7	
Arabic_beh	U0628	0x05c8	
Arabic_tehmarbuta	U0629	0x05c9	
Arabic_teh	U062a	0x05ca	
Arabic_theh	U062b	0x05cb	
Arabic_jeem	U062c	0x05cc	
Arabic_hah	U062d	0x05cd	
Arabic_khah	U062e	0x05ce	
Arabic_dal	U062f	0x05cf	
Arabic_thal	U0630	0x05d0	
Arabic_ra	U0631	0x05d1	
Arabic_zain	U0632	0x05d2	
Arabic_seen	U0633	0x05d3	
Arabic_sheen	U0634	0x05d4	
Arabic_sad	U0635	0x05d5	
Arabic_dad	U0636	0x05d6	
Arabic_tah	U0637	0x05d7	
Arabic_zah	U0638	0x05d8	
Arabic_ain	U0639	0x05d9	
Arabic_ghain	U063a	0x05da	
Arabic_tatweel	U0640	0x05e0	
Arabic_feh	U0641	0x05e1	
Arabic_qaf	U0642	0x05e2	
Arabic_kaf	U0643	0x05e3	
Arabic_lam	U0644	0x05e4	
Arabic_meem	U0645	0x05e5	
Arabic_noon	U0646	0x05e6	
Arabic_ha	U0647	0x05e7	
Arabic_waw	U0648	0x05e8	
Arabic_alefmaksura	U0649	0x05e9	
Arabic_yeh	U064a	0x05ea	
Arabic_fathatan	U064b	0x05eb	
Arabic_dammatan	U064c	0x05ec	
Arabic_kasratan	U064d	0x05ed	
Arabic_fatha	U064e	0x05ee	
Arabic_damma	U064f	0x05ef	
Arabic_kasra	U0650	0x05f0	
Arabic_shadda	U0651	0x05f1	
Arabic_sukun	U0652	0x05f2	
Serbian_dje	U0452	0x06a1	
Macedonia_gje	U0453	0x06a2	
Cyrillic_io	U0451	0x06a3	
Ukrainian_ie	U0454	0x06a4	
Macedonia_dse	U0455	0x06a5	
Ukrainian_i	U0456	0x06a6	
Ukrainian_yi	U0457	0x06a7	
Cyrillic_je	U0458	0x06a8	
Cyrillic_lje	U0459	0x06a9	
Cyrillic_nje	U045a	0x06aa	
Serbian_tshe	U045b	0x06ab	
Macedonia_kje	U045c	0x06ac	
Byelorussian_shortu	U045e	0x06ae	
Cyrillic_dzhe	U045f	0x06af	
numerosign	U2116	0x06b0	
Serbian_DJE	U0402	0x06b1	
Macedonia_GJE	U0403	0x06b2	
Cyrillic_IO	U0401	0x06b3	
Ukrainian_IE	U0404	0x06b4	
Macedonia_DSE	U0405	0x06b5	
Ukrainian_I	U0406	0x06b6	
Ukrainian_YI	U0407	0x06b7	
Cyrillic_JE	U0408	0x06b8	
Cyrillic_LJE	U0409	0x06b9	
Cyrillic_NJE	U040a	0x06ba	
Serbian_TSHE	U040b	0x06bb	
Macedonia_KJE	U040c	0x06bc	
Byelorussian_SHORTU	U040e	0x06be	
Cyrillic_DZHE	U040f	0x06bf	
Cyrillic_yu	U044e	0x06c0	
Cyrillic_a	U0430	0x06c1	
Cyrillic_be	U0431	0x06c2	
Cyrillic_tse	U0446	0x06c3	
Cyrillic_de	U0434	0x06c4	
Cyrillic_ie	U0435	0x06c5	
Cyrillic_ef	U0444	0x06c6	
Cyrillic_ghe	U0433	0x06c7	
Cyrillic_ha	U0445	0x06c8	
Cyrillic_i	U0438	0x06c9	
Cyrillic_shorti	U0439	0x06ca	
Cyrillic_ka	U043a	0x06cb	
Cyrillic_el	U043b	0x06cc	
Cyrillic_em	U043c	0x06cd	
Cyrillic_en	U043d	0x06ce	
Cyrillic_o	U043e	0x06cf	
Cyrillic_pe	U043f	0x06d0	
Cyrillic_ya	U044f	0x06d1	
Cyrillic_er	U0440	0x06d2	
Cyrillic_es	U0441	0x06d3	
Cyrillic_te	U0442	0x06d4	
Cyrillic_u	U0443	0x06d5	
Cyrillic_zhe	U0436	0x06d6	
Cyrillic_ve	U0432	0x06d7	
Cyrillic_softsign	U044c	0x06d8	
Cyrillic_yeru	U044b	0x06d9	
Cyrillic_ze	U0437	0x06da	
Cyrillic_sha	U0448	0x06db	
Cyrillic_e	U044d	0x06dc	
Cyrillic_shcha	U0449	0x06dd	
Cyrillic_che	U0447	0x06de	
Cyrillic_hardsign	U044a	0x06df	
Cyrillic_YU	U042e	0x06e0	
Cyrillic_A	U0410	0x06e1	
Cyrillic_BE	U0411	0x06e2	
Cyrillic_TSE	U0426	0x06e3	
Cyrillic_DE	U0414	0x06e4	
Cyrillic_IE	U0415	0x06e5	
Cyrillic_EF	U0424	0x06e6	
Cyrillic_GHE	U0413	0x06e7	
Cyrillic_HA	U0425	0x06e8	
Cyrillic_I	U0418	0x06e9	
Cyrillic_SHORTI	U0419	0x06ea	
Cyrillic_KA	U041a	0x06eb	
Cyrillic_EL	U041b	0x06ec	
Cyrillic_EM	U041c	0x06ed	
Cyrillic_EN	U041d	0x06ee	
Cyrillic_O	U041e	0x06ef	
Cyrillic_PE	U041f	0x06f0	
Cyrillic_YA	U042f	0x06f1	
Cyrillic_ER	U0420	0x06f2	
Cyrillic_ES	U0421	0x06f3	
Cyrillic_TE	U0422	0x06f4	
Cyrillic_U	U0423	0x06f5	
Cyrillic_ZHE	U0416	0x06f6	
Cyrillic_VE	U0412	0x06f7	
Cyrillic_SOFTSIGN	U042c	0x06f8	
Cyrillic_YERU	U042b	0x06f9	
Cyrillic_ZE	U0417	0x06fa	
Cyrillic_SHA	U0428	0x06fb	
Cyrillic_E	U042d	0x06fc	
Cyrillic_SHCHA	U0429	0x06fd	
Cyrillic_CHE	U0427	0x06fe	
Cyrillic_HARDSIGN	U042a	0x06ff	
Greek_ALPHAaccent	U0386	0x07a1	
Greek_EPSILONaccent	U0388	0x07a2	
Greek_ETAaccent	U0389	0x07a3	
Greek_IOTAaccent	U038a	0x07a4	
Greek_IOTAdiaeresis	U03aa	0x07a5	
Greek_OMICRONaccent	U038c	0x07a7	
Greek_UPSILONaccent	U038e	0x07a8	
Greek_UPSILONdieresis	U03ab	0x07a9	
Greek_OMEGAaccent	U038f	0x07ab	
Greek_accentdieresis	U0385	0x07ae	
Greek_horizbar	U2015	0x07af	
Greek_alphaaccent	U03ac	0x07b1	
Greek_epsilonaccent	U03ad	0x07b2	
Greek_etaaccent	U03ae	0x07b3	
Greek_iotaaccent	U03af	0x07b4	
Greek_iotadieresis	U03ca	0x07b5	
Greek_iotaaccentdieresis	U0390	0x07b6	
Greek_omicronaccent	U03cc	0x07b7	
Greek_upsilonaccent	U03cd	0x07b8	
Greek_upsilondieresis	U03cb	0x07b9	
Greek_upsilonaccentdieresis	U03b0	0x07ba	
Greek_omegaaccent	U03ce	0x07bb	
Greek_ALPHA	U0391	0x07c1	
Greek_BETA	U0392	0x07c2	
Greek_GAMMA	U0393	0x07c3	
Greek_DELTA	U0394	0x07c4	
Greek_EPSILON	U0395	0x07c5	
Greek_ZETA	U0396	0x07c6	
Greek_ETA	U0397	0x07c7	
Greek_THETA	U0398	0x07c8	
Greek_IOTA	U0399	0x07c9	
Greek_KAPPA	U039a	0x07ca	
Greek_LAMBDA	U039b	0x07cb	
Greek_LAMDA	U039b	0x07cb	
